model,set,frame,gt,gt_rings,gt_segs,pred,ap
dino_lr4e5,41,0,11,11,0,24,0.910357067175249
dino_lr4e5,41,1,67,13,54,137,0.579881772445254
dino_lr4e5,41,2,141,10,131,202,0.7133748497571446
dino_lr4e5,41,3,83,7,76,174,0.8497041699976122
dino_lr4e5,41,4,15,12,3,56,0.8154208754208754
dino_lr4e5,41,5,23,11,12,72,0.5912229274085536
dino_lr4e5,41,6,53,6,47,125,0.7853883110680012
dino_lr4e5,41,7,1,1,0,2,nan
dino_lr4e5,41,8,30,7,23,82,0.7692886212396195
dino_lr4e5,41,9,83,6,77,157,0.7711603085120242
dino_lr4e5,41,10,10,8,2,35,0.7141666666666666
dino_lr4e5,41,11,32,8,24,83,0.8634959021785531
dino_lr4e5,41,12,71,6,65,150,0.8702164690059591
dino_lr4e5,41,13,31,21,10,45,0.7554240572762146
dino_lr4e5,41,14,27,24,3,61,0.8498375087246361
dino_lr4e5,41,15,16,16,0,34,0.9551470588235295
dino_lr4e5,41,16,17,16,1,25,0.9411764705882353
dino_lr4e5,41,17,17,16,1,54,0.7137713301560098
dino_lr4e5,41,18,28,23,5,42,0.9043087561399834
dino_lr4e5,41,19,25,8,17,44,0.8340574371162607
dino_lr4e5,41,20,22,7,15,69,0.8701596383414565
dino_lr4e5,41,21,31,12,19,70,0.7759051932106114
dino_lr4e5,41,22,41,14,27,64,0.6830792631610401
dino_lr4e5,41,23,36,36,0,79,0.7665552668272001
dino_lr4e5,41,24,58,55,3,102,0.5752323160304496
dino_lr4e5,41,25,60,15,45,74,0.7593460805775897
dino_lr4e5,41,26,2,2,0,15,nan
dino_lr4e5,41,27,26,16,10,58,0.7784696784696784
dino_lr4e5,41,28,26,26,0,40,0.8730201979365859
dino_lr4e5,41,29,39,21,18,81,0.8116441966233734
dino_lr4e5,41,30,27,27,0,48,0.9054110051649925
dino_lr4e5,41,31,111,27,84,184,0.9137845575928345
dino_lr4e5,41,32,73,24,49,147,0.8541052912916735
dino_lr4e5,41,33,47,45,2,64,0.8179708287672189
dino_lr4e5,41,34,108,11,97,195,0.8037544439991183
dino_lr4e5,41,35,75,31,44,145,0.6337978688791718
dino_lr4e5,41,36,24,24,0,63,0.6531377179494986
dino_lr4e5,41,37,21,13,8,49,0.6955735238343934
dino_lr4e5,41,38,17,13,4,53,0.7234421280473912
dino_lr4e5,41,39,36,29,7,103,0.5751552837299201
dino_lr4e5,41,40,19,18,1,46,0.5825420079129388
dino_lr4e5,organic,0,118,0,118,151,0.6621696520857844
dino_lr4e5,organic,1,7,7,0,12,nan
dino_lr4e5,organic,2,295,3,292,205,0.5042174643061069
dino_lr4e5,organic,3,106,0,106,130,0.8183378147519083
dino_lr4e5,organic,4,18,18,0,51,0.8877828909341514
dino_lr4e5,organic,5,101,1,100,114,0.7629901323945214
dino_lr4e5,organic,6,145,0,145,158,0.5792451991960765
dino_lr4e5,organic,7,27,1,26,44,0.5775976357277169
