model,set,frame,gt,gt_rings,gt_segs,pred,ap
dino_ssl1,41,0,11,11,0,23,0.9621212121212122
dino_ssl1,41,1,67,13,54,82,0.4787427254646022
dino_ssl1,41,2,141,10,131,196,0.677564849575507
dino_ssl1,41,3,83,7,76,161,0.7782380830602245
dino_ssl1,41,4,15,12,3,43,0.8428059395801331
dino_ssl1,41,5,23,11,12,64,0.6511332266767049
dino_ssl1,41,6,53,6,47,119,0.757906819048643
dino_ssl1,41,7,1,1,0,3,nan
dino_ssl1,41,8,30,7,23,52,0.5850494071146245
dino_ssl1,41,9,83,6,77,152,0.7551566926683324
dino_ssl1,41,10,10,8,2,43,0.7361616161616161
dino_ssl1,41,11,32,8,24,79,0.8407093838558158
dino_ssl1,41,12,71,6,65,169,0.8095598982113144
dino_ssl1,41,13,31,21,10,49,0.7643232984262265
dino_ssl1,41,14,27,24,3,49,0.8791005426827319
dino_ssl1,41,15,16,16,0,20,0.8708333333333333
dino_ssl1,41,16,17,16,1,23,0.9131652661064427
dino_ssl1,41,17,17,16,1,35,0.8334831705961737
dino_ssl1,41,18,28,23,5,47,0.8736598686883881
dino_ssl1,41,19,25,8,17,56,0.8241085862598654
dino_ssl1,41,20,22,7,15,64,0.8598449764067613
dino_ssl1,41,21,31,12,19,53,0.8221429037516246
dino_ssl1,41,22,41,14,27,49,0.6292430025819429
dino_ssl1,41,23,36,36,0,54,0.7463380718880175
dino_ssl1,41,24,58,55,3,112,0.561400503499277
dino_ssl1,41,25,60,15,45,77,0.7681049133557312
dino_ssl1,41,26,2,2,0,15,nan
dino_ssl1,41,27,26,16,10,68,0.698390813340206
dino_ssl1,41,28,26,26,0,48,0.820145295061683
dino_ssl1,41,29,39,21,18,81,0.835623331236887
dino_ssl1,41,30,27,27,0,48,0.8531000474305686
dino_ssl1,41,31,111,27,84,165,0.8551675427570188
dino_ssl1,41,32,73,24,49,150,0.8298705314653863
dino_ssl1,41,33,47,45,2,59,0.809553498703394
dino_ssl1,41,34,108,11,97,177,0.7876696048984961
dino_ssl1,41,35,75,31,44,134,0.6179488882776853
dino_ssl1,41,36,24,24,0,82,0.8469729344729344
dino_ssl1,41,37,21,13,8,84,0.6857011516810224
dino_ssl1,41,38,17,13,4,55,0.8530838341528563
dino_ssl1,41,39,36,29,7,132,0.6269792245948596
dino_ssl1,41,40,19,18,1,47,0.8399944065629661
dino_ssl1,organic,0,118,0,118,129,0.6127265897600176
dino_ssl1,organic,1,7,7,0,20,nan
dino_ssl1,organic,2,295,3,292,189,0.43344983262209075
dino_ssl1,organic,3,106,0,106,123,0.7764880253183069
dino_ssl1,organic,4,18,18,0,35,0.9697854504120488
dino_ssl1,organic,5,101,1,100,142,0.7510007016439183
dino_ssl1,organic,6,145,0,145,156,0.48829519745712835
dino_ssl1,organic,7,27,1,26,38,0.5696053535993859
